ref_des, part number, footprint
C1, 10uF, Capacitors_SMD:C_0805
C2, 10uF, Capacitors_SMD:C_0805
C3, no_pop, Capacitors_SMD:C_0805
C4, 1uF 10V, Capacitors_SMD:C_0805
C5, 0.1uF, Capacitors_SMD:C_0805
CN1, CONN_02X08, PJS_smt_std:16pin_straddle_mount_100mil
CN2, OSTTA060161, On_shore:OSTTA060161
D1, Red, LEDs:LED-0805
HS1, V-1100-SMD/B, PJS_smt_std:V-1100-SMD
Q1, IPD30N03S4L-09, TO252-3
R1, 4.7k 1%, Capacitors_SMD:C_0805
R2, no_pop, Capacitors_SMD:C_0805
R3, 1k, Capacitors_SMD:C_0805
R4, 10k, Capacitors_SMD:C_0805
R5, 10k, Capacitors_SMD:C_0805
R6, 10k, Capacitors_SMD:C_0805
U1, MIC5205-5.0MB5, Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5
U2, PIC16F1704, Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm
icon1, Metroid, PJS-icons:metroid
